strategy,side,split,horizon,n,unique_dates,median_return,hit_rate,median_baseline,median_edge,edge_hit_rate,mean_edge
cross_7_30_regime,short,test,3,259,121,0.0140880609652838,0.5907335907335908,0.008834304835972308,0.0019301459363485034,0.5366795366795367,0.004368387605614975
cross_7_30_regime,short,test,5,259,121,0.0200706260032103,0.6525096525096525,0.00695834243364052,0.003943713952300748,0.5637065637065637,0.005972157908361975
cross_7_30_regime,short,test,10,259,121,0.0452953456921424,0.6447876447876448,0.026316478506858476,0.007374259467238201,0.583011583011583,0.006731901177649565
cross_7_30_regime,short,test,20,259,121,0.1344899410914749,0.7258687258687259,0.11590924715490747,0.013879561310391246,0.5752895752895753,-0.005466411705796445
cross_7_30_regime,short,test,30,259,121,0.1448690248565965,0.6833976833976834,0.14143673566649873,0.009726934658040087,0.5482625482625483,-0.01577086285315556
cross_7_30_regime,short,train,1,348,113,0.00011180093378805001,0.5,0.00021827861579415582,-0.0007444473927058094,0.47701149425287354,-0.0028725078691886996
cross_7_30_regime,short,train,3,348,113,0.01445663320574845,0.5862068965517241,0.012453961456102893,0.0005945340737201835,0.5114942528735632,-0.004220561466842248
cross_7_30_regime,short,train,5,348,113,0.0145541461279745,0.5603448275862069,0.020336027310029148,-4.526909803135443e-05,0.49712643678160917,-0.008200939608052937
cross_7_30_regime,short,train,10,348,113,0.0104921207768915,0.5373563218390804,0.030517707662588545,-0.005698311504359512,0.4511494252873563,-0.012677234445161969
cross_7_30_regime,short,train,20,348,113,0.048393832746773904,0.6637931034482759,0.06466666666666676,-0.004413202672103052,0.46264367816091956,-0.018419603661799563
cross_7_30_regime,short,train,30,348,113,0.0536813520907595,0.6896551724137931,0.06716707257671706,-0.0040900646074582825,0.46264367816091956,-0.02703089946707114
fresh_stack,long,test,1,59,50,-0.002,0.3389830508474576,-0.004736888823137829,0.006185187513788139,0.6610169491525424,0.01866870103911645
fresh_stack,long,test,3,59,50,-0.0020998701687805,0.3898305084745763,-0.0318822819197101,0.014260310753365358,0.576271186440678,0.04893440077591486
fresh_stack,long,test,5,59,50,-0.002199740337561,0.3559322033898305,-0.02729662896429369,0.017464520054597202,0.6779661016949152,0.058347691447308114
fresh_stack,long,test,10,59,50,-0.0027002801120448,0.3220338983050847,-0.10442607859146263,0.05644257703081236,0.7457627118644068,0.07078044319348505
fresh_stack,long,test,20,59,50,-0.0055747723210486,0.2542372881355932,-0.10549211096986455,0.0729018969398505,0.7457627118644068,0.12432834468113875
fresh_stack,long,test,30,59,50,-0.012289990645463,0.23728813559322035,-0.23597435897435892,0.11418271879444529,0.7966101694915254,0.19645253246514707
fresh_stack,long,train,1,176,81,-0.00981588940119975,0.39204545454545453,-0.005776343184687975,0.002280593003726818,0.5397727272727273,0.007360786804990965
fresh_stack,long,train,3,176,81,-0.02462680435099185,0.30113636363636365,-0.040017487077918856,0.012513434063080572,0.5909090909090909,0.013171868457320006
fresh_stack,long,train,5,176,81,-0.0359374121825282,0.2840909090909091,-0.06213403368954895,0.027582930643588154,0.6363636363636364,0.02472903610487077
fresh_stack,long,train,10,176,81,-0.059504504879186196,0.26704545454545453,-0.12558360302861843,0.02309974154791282,0.6022727272727273,0.045968761418155916
fresh_stack,long,train,20,176,81,-0.07620052903639075,0.26704545454545453,-0.16251800138499645,0.05186094281678272,0.625,0.058947001598690346
fresh_stack,long,train,30,176,81,-0.11376259513353396,0.26704545454545453,-0.24857819705296186,0.067875791365886,0.6704545454545454,0.08872268091459397
fresh_stack,short,test,1,612,187,0.00423917971328565,0.5555555555555556,0.0061097941359951075,-0.00024278369461431387,0.48366013071895425,-0.0014917754955472715
fresh_stack,short,test,3,612,187,0.0091283109126548,0.5490196078431373,0.005875205559203513,-0.001617717632133515,0.47058823529411764,-0.002314508509109034
fresh_stack,short,test,5,612,187,0.01623820009191855,0.5866013071895425,0.014392418668957354,-0.0004262807702450251,0.49019607843137253,-0.005176026360499616
fresh_stack,short,test,10,612,187,0.019843592303484453,0.5604575163398693,0.012298808432630539,-0.001891453675587555,0.4738562091503268,-0.016022903942443628
fresh_stack,short,test,20,612,187,0.07610679407926266,0.6437908496732027,0.05247184057847559,-0.00040964662796503376,0.48856209150326796,-0.020169044266548045
fresh_stack,short,test,30,612,187,0.08021007326405075,0.6650326797385621,0.03752666631555257,-0.004320583295095427,0.46895424836601307,-0.022295693144549773
fresh_stack,short,train,1,518,127,-0.0021001051226545503,0.47104247104247104,0.0011847133757961776,-0.0026104308871283287,0.42277992277992277,-0.0038557458028206835
fresh_stack,short,train,3,518,127,-0.00321604917521795,0.4575289575289575,0.007129859443323007,-0.006457716299838299,0.3861003861003861,-0.009223999327424926
fresh_stack,short,train,5,518,127,0.0029273206411144,0.5135135135135135,0.010526150627615085,-0.007960064291494751,0.416988416988417,-0.012818305664840397
fresh_stack,short,train,10,518,127,0.026836176212901,0.5501930501930502,0.04141875081594204,-0.006803120642240125,0.44594594594594594,-0.014546722946754872
fresh_stack,short,train,20,518,127,0.06536156054202046,0.637065637065637,0.08159151304335086,-0.00535660798964762,0.4594594594594595,-0.024010645923675116
fresh_stack,short,train,30,518,127,0.10186328263449065,0.6332046332046332,0.12116767591319816,-0.010212881002940755,0.444015444015444,-0.04864090986252694
pullback_recapture,long,test,1,98,74,-0.0022000400160063502,0.336734693877551,-0.00980705416191263,0.005547248687125364,0.5816326530612245,0.008783253844507143
pullback_recapture,long,test,3,98,74,-0.0025496404314822,0.30612244897959184,-0.03194951583014577,0.00388904431075985,0.5510204081632653,0.023753088047994288
pullback_recapture,long,test,5,98,74,-0.00231991278688235,0.3469387755102041,-0.035616643650116575,0.019668983565427896,0.6224489795918368,0.03244069931029962
pullback_recapture,long,test,10,98,74,-0.0032446812707702,0.30612244897959184,-0.07546260496056664,0.032179632901618474,0.6632653061224489,0.0414444682351795
pullback_recapture,long,test,20,98,74,-0.0205159375350318,0.22448979591836735,-0.1185644484745067,0.06090580637828763,0.7448979591836735,0.09954024594615507
pullback_recapture,long,test,30,98,74,-0.0406688788590675,0.24489795918367346,-0.23002876761675137,0.07609595376029823,0.7346938775510204,0.15011967229723147
pullback_recapture,long,train,1,294,95,-0.0021847289116779,0.4557823129251701,-0.00285853786443274,0.0024464922822523176,0.5544217687074829,0.00827565256733638
pullback_recapture,long,train,3,294,95,-0.013951778923582101,0.3877551020408163,-0.040017487077918856,0.006584985214378432,0.5510204081632653,0.01292658747218228
pullback_recapture,long,train,5,294,95,-0.0233974997805666,0.35374149659863946,-0.06173416590410874,0.011920401262944847,0.5680272108843537,0.019556851388213354
pullback_recapture,long,train,10,294,95,-0.04018874332543975,0.36394557823129253,-0.08424008131206703,0.009030455317347056,0.5884353741496599,0.030556887109296504
pullback_recapture,long,train,20,294,95,-0.0762921731171914,0.22448979591836735,-0.1489581789234228,0.027207540116255657,0.5816326530612245,0.03903406946391775
pullback_recapture,long,train,30,294,95,-0.1141166715791203,0.2653061224489796,-0.18821523579201926,0.0444047289727946,0.6224489795918368,0.06859664450276029
pullback_recapture,short,test,1,668,158,0.00622341493276765,0.5778443113772455,0.0061097941359951075,-0.0006389186974663627,0.47754491017964074,-0.0015214088592567132
pullback_recapture,short,test,3,668,158,0.00871169827402515,0.5523952095808383,0.00672592319960741,-0.0026816889913630314,0.45808383233532934,-0.004312976874613621
pullback_recapture,short,test,5,668,158,0.01619769241739615,0.5718562874251497,0.013849430411094656,-0.0019131626532823342,0.4625748502994012,-0.008648358883210977
pullback_recapture,short,test,10,668,158,0.02789134726432825,0.5973053892215568,0.017062325498304054,-0.002288101786397531,0.4655688622754491,-0.017325586461105325
pullback_recapture,short,test,20,668,158,0.0647927945636302,0.6497005988023952,0.04021800891412464,-0.0008748313113747103,0.49101796407185627,-0.019830508877537064
pullback_recapture,short,test,30,668,158,0.07952007250767834,0.655688622754491,0.03752666631555257,-0.004145545036140855,0.468562874251497,-0.02294469023981594
pullback_recapture,short,train,1,568,94,-0.0016491503962421,0.4823943661971831,0.004038647342995085,-0.00044872631168334167,0.48063380281690143,-0.001865410282366897
pullback_recapture,short,train,3,568,94,-0.0022003006515788,0.4665492957746479,7.044452563093224e-05,-0.003502070827060357,0.4507042253521127,-0.006077296475766611
pullback_recapture,short,train,5,568,94,0.0106039295772037,0.551056338028169,0.022830699774266328,-0.00639137637122691,0.4524647887323944,-0.010049761108963901
pullback_recapture,short,train,10,568,94,0.0317932756564103,0.5616197183098591,0.0619150866313814,-0.00968895993231196,0.44366197183098594,-0.01826611613929281
pullback_recapture,short,train,20,568,94,0.05568926490571645,0.602112676056338,0.08507566332143823,-0.005162265661022243,0.4595070422535211,-0.031422315521291835
pullback_recapture,short,train,30,568,94,0.0738884377832027,0.6091549295774648,0.10463878724516462,-0.011629316980708754,0.43485915492957744,-0.05298367934582755
