strategy,side,split,cost_bps,horizon,n,median_return,mean_return,hit_rate
fresh_stack,long,test,20,10,59,-0.005707136237256714,-0.028943154134492,0.2711864406779661
fresh_stack,long,test,20,20,59,-0.010521516829995801,-0.00942916870716532,0.23728813559322035
fresh_stack,long,test,20,30,59,-0.022536855560289726,-0.021181460692920685,0.22033898305084745
fresh_stack,long,test,30,1,59,-0.003299431080946211,-0.011867222746730157,0.2033898305084746
fresh_stack,long,test,30,3,59,-0.0032497452598350103,-0.001562372883437552,0.3389830508474576
fresh_stack,long,test,30,5,59,-0.0035003001801080487,-0.0015868692527163876,0.3559322033898305
fresh_stack,long,test,30,10,59,-0.006707136237256714,-0.029943154134491997,0.2542372881355932
fresh_stack,long,test,30,20,59,-0.0115215168299958,-0.010429168707165318,0.23728813559322035
fresh_stack,long,test,30,30,59,-0.023536855560289723,-0.022181460692920693,0.22033898305084745
fresh_stack,long,test,60,1,59,-0.006299431080946211,-0.01486722274673016,0.15254237288135594
fresh_stack,long,test,60,3,59,-0.00624974525983501,-0.004562372883437555,0.3389830508474576
fresh_stack,long,test,60,5,59,-0.006500300180108049,-0.004586869252716387,0.3220338983050847
fresh_stack,long,test,60,10,59,-0.009707136237256714,-0.032943154134492,0.23728813559322035
fresh_stack,long,test,60,20,59,-0.014521516829995801,-0.013429168707165323,0.23728813559322035
fresh_stack,long,test,60,30,59,-0.026536855560289722,-0.02518146069292069,0.2033898305084746
fresh_stack,long,train,20,1,176,-0.005027007555367778,-0.007224144703153554,0.42613636363636365
fresh_stack,long,train,20,3,176,-0.011911611696216682,-0.03152630814792412,0.39204545454545453
fresh_stack,long,train,20,5,176,-0.044170693689724316,-0.054567856006887405,0.2727272727272727
fresh_stack,long,train,20,10,176,-0.058504106274399725,-0.05827196094036358,0.2784090909090909
fresh_stack,long,train,20,20,176,-0.06568098733414968,-0.07523153321790504,0.3068181818181818
fresh_stack,long,train,20,30,176,-0.08530724358000852,-0.11320257182403876,0.2727272727272727
fresh_stack,long,train,30,1,176,-0.006027007555367778,-0.008224144703153554,0.4034090909090909
fresh_stack,long,train,30,3,176,-0.012911611696216681,-0.03252630814792412,0.38636363636363635
