strategy,side,split,horizon,n,mean_return,median_return,hit_rate,p25,p75,median_mfe_20d,median_mae_20d
fresh_stack,long,train,30,176,-0.1029340521863344,-0.11376259513353398,0.26704545454545453,-0.2597499828363011,0.004440075322231842,0.07243217496929322,-0.17602898765928138
fresh_stack,short,test,1,612,0.0026811883364981784,0.004239179713285692,0.5555555555555556,-0.01732820316441458,0.025086828252444016,0.16334448322041495,-0.08936048487072412
fresh_stack,short,test,3,612,0.01095796165505583,0.00912831091265487,0.5490196078431373,-0.03195894302992974,0.0479849197971316,0.16334448322041495,-0.08936048487072412
fresh_stack,short,test,5,612,0.015351351023440499,0.01623820009191862,0.5866013071895425,-0.032775411658974185,0.07072230698036097,0.16334448322041495,-0.08936048487072412
fresh_stack,short,test,10,612,0.02475200026057832,0.01984359230348448,0.5604575163398693,-0.04662280487505194,0.11330228984586402,0.16334448322041495,-0.08936048487072412
fresh_stack,short,test,20,612,0.06490200547807992,0.07610679407926269,0.6437908496732027,-0.03821635550531166,0.19162752606124736,0.16334448322041495,-0.08936048487072412
fresh_stack,short,test,30,612,0.07927585785794171,0.08021007326405077,0.6650326797385621,-0.03752091614206221,0.22878859222643824,0.16334448322041495,-0.08936048487072412
fresh_stack,short,train,1,518,0.000126846982010772,-0.00210010512265457,0.47104247104247104,-0.03151257185966122,0.03067218035524752,0.19723595109990855,-0.12265131604754254
fresh_stack,short,train,3,518,0.0024350161429280244,-0.0032160491752180036,0.4575289575289575,-0.0491686207458068,0.05528879800491407,0.19723595109990855,-0.12265131604754254
fresh_stack,short,train,5,518,0.010967255071303816,0.002927320641114452,0.5135135135135135,-0.05880622715553391,0.06987156053344301,0.19723595109990855,-0.12265131604754254
fresh_stack,short,train,10,518,0.014112901737287936,0.02683617621290102,0.5501930501930502,-0.0889180755237085,0.12527706543839984,0.19723595109990855,-0.12265131604754254
fresh_stack,short,train,20,518,0.04023098929726966,0.06536156054202047,0.637065637065637,-0.05074219235946442,0.19944245470398148,0.19723595109990855,-0.12265131604754254
fresh_stack,short,train,30,518,0.03544440805442058,0.10186328263449068,0.6332046332046332,-0.10730112459307478,0.27071552225558926,0.19723595109990855,-0.12265131604754254
pullback_recapture,long,test,1,98,-0.002616680297262228,-0.002200040016006431,0.336734693877551,-0.014706226462439074,0.005822321589540715,0.045561188381290085,-0.14085340634829474
